organ,dose_gy,volume_pct
Rectum,3.734,100.000
Rectum,3.830,100.000
Rectum,3.925,100.000
Rectum,4.021,100.000
Rectum,4.117,100.000
Rectum,4.213,100.000
Rectum,4.308,100.000
Rectum,4.404,100.000
Rectum,4.500,100.000
Rectum,4.596,100.000
Rectum,4.691,100.000
Rectum,4.787,100.000
Rectum,4.883,100.000
Rectum,4.979,100.000
Rectum,5.074,100.000
Rectum,5.170,100.000
Rectum,5.266,100.000
Rectum,5.361,100.000
Rectum,5.457,100.000
Rectum,5.553,100.000
Rectum,5.649,100.000
Rectum,5.744,100.000
Rectum,5.840,100.000
Rectum,5.936,100.000
Rectum,6.032,100.000
Rectum,6.127,100.000
Rectum,6.223,100.000
Rectum,6.319,100.000
Rectum,6.415,100.000
Rectum,6.510,100.000
Rectum,6.606,100.000
Rectum,6.702,100.000
Rectum,6.798,100.000
Rectum,6.893,100.000
Rectum,6.989,100.000
Rectum,7.085,100.000
Rectum,7.181,100.000
Rectum,7.276,100.000
Rectum,7.372,100.000
Rectum,7.468,100.000
Rectum,7.564,100.000
Rectum,7.659,100.000
Rectum,7.755,100.000
Rectum,7.851,100.000
Rectum,7.947,100.000
Rectum,8.042,100.000
Rectum,8.138,100.000
Rectum,8.234,100.000
Rectum,8.329,100.000
Rectum,8.425,100.000
Rectum,8.521,100.000
Rectum,8.617,100.000
Rectum,8.712,100.000
Rectum,8.808,100.000
Rectum,8.904,100.000
Rectum,9.000,100.000
Rectum,9.095,100.000
Rectum,9.191,100.000
Rectum,9.287,100.000
Rectum,9.383,100.000
Rectum,9.478,100.000
Rectum,9.574,100.000
Rectum,9.670,100.000
Rectum,9.766,100.000
Rectum,9.861,100.000
Rectum,9.957,100.000
Rectum,10.053,100.000
Rectum,10.149,100.000
Rectum,10.244,100.000
Rectum,10.340,100.000
Rectum,10.436,100.000
Rectum,10.532,100.000
Rectum,10.627,100.000
Rectum,10.723,100.000
Rectum,10.819,100.000
Rectum,10.914,100.000
Rectum,11.010,100.000
Rectum,11.106,100.000
Rectum,11.202,100.000
Rectum,11.297,100.000
Rectum,11.393,100.000
Rectum,11.489,100.000
Rectum,11.585,100.000
Rectum,11.680,100.000
Rectum,11.776,100.000
Rectum,11.872,100.000
Rectum,11.968,100.000
Rectum,12.063,100.000
Rectum,12.159,100.000
Rectum,12.255,100.000
Rectum,12.351,100.000
Rectum,12.446,100.000
Rectum,12.542,100.000
Rectum,12.638,100.000
Rectum,12.734,100.000
Rectum,12.829,100.000
Rectum,12.925,100.000
Rectum,13.021,100.000
Rectum,13.117,100.000
Rectum,13.212,100.000
Rectum,13.308,100.000
Rectum,13.404,100.000
Rectum,13.499,100.000
Rectum,13.595,100.000
Rectum,13.691,100.000
Rectum,13.787,100.000
Rectum,13.882,100.000
Rectum,13.978,100.000
Rectum,14.074,100.000
Rectum,14.170,100.000
Rectum,14.265,100.000
Rectum,14.361,100.000
Rectum,14.457,100.000
Rectum,14.553,100.000
Rectum,14.648,100.000
Rectum,14.744,100.000
Rectum,14.840,100.000
Rectum,14.936,100.000
Rectum,15.031,100.000
Rectum,15.127,100.000
Rectum,15.223,100.000
Rectum,15.319,100.000
Rectum,15.414,100.000
Rectum,15.510,100.000
Rectum,15.606,80.000
Rectum,15.702,80.000
Rectum,15.797,80.000
Rectum,15.893,60.000
Rectum,15.989,60.000
Rectum,16.084,60.000
Rectum,16.180,60.000
Rectum,16.276,60.000
Rectum,16.372,60.000
Rectum,16.467,40.000
Rectum,16.563,40.000
Rectum,16.659,40.000
Rectum,16.755,20.000
Rectum,16.850,20.000
Rectum,16.946,20.000
Rectum,17.042,20.000
Rectum,17.138,20.000
Rectum,17.233,20.000
Rectum,17.329,20.000
Rectum,17.425,20.000
Rectum,17.521,20.000
Rectum,17.616,20.000
Rectum,17.712,20.000
Rectum,17.808,20.000
Rectum,17.904,20.000
Rectum,17.999,20.000
Rectum,18.095,20.000
Rectum,18.191,20.000
Rectum,18.287,20.000
Rectum,18.382,20.000
Rectum,18.478,20.000
Rectum,18.574,20.000
Rectum,18.669,20.000
Rectum,18.765,20.000
Rectum,18.861,20.000
Rectum,18.957,20.000
Rectum,19.052,20.000
Rectum,19.148,20.000
